id,rating_number,rating_text
0,3.7,"En general la clase con Catalina es buena pero existen graves falencias que muchas veces cuestionan la calidad del curso, Catalina suele llegar tarde a clase y faltar en reiteradas ocasiones, las retroalimentaciones suelen ser duras y a veces se siente cierta ironía por parte de ella, existe una clara preferencia por ciertos estudiantes, hay mucho desorden en el programa y las temáticas."
1,5,"¡Una de las mejores profesoras! Sus clases son muy entretenidas, es un amor de persona y siempre se esmera para que cada uno de sus estudiantes comprenda."
2,4.7,"Se preocupa por el aprendizaje de sus estudiantes, explica bien y siempre esta dispuesto a resolver dudas y corregir errores de la mejor manera."
3,3,"Es un buen profesor; es chistoso, hace la clase amena. Los parciales son acordes a lo que enseña. Sin embargo, cumple el programa estrictamente, es decir, lo que se tiene que ver en una clase se ve, aun así existan dudas, el siempre va muy rápido en todo por esto. Uno se confunde mucho en clase y como va tan rápido no da tanta confianza para pregun..."
4,3,"Sus parciales tienen el mismo nivel de dificultad que los de Dario, sus tareas son muy buenas para prepararse pero demasiado largas. Su clase es demasiado tediosa por lo cual hace que se pierda el intereses por la materia. Es muy organizada y ofrece buen material. Ya no es tan dificil como antes pues no se hacen quices."
5,1,"Es una profesora vengativa, que muy a pesar de saber mucho sobre la materia no es para nada fácil de llevar y puede dejar la clase tirada si le da la gana. Literal cambio la forma de evaluar como venganza hacia el curso en TGE."
6,5,"Es un excelente profesor, explica muy bien todos los temas, se esfuerza para que todos los estudiantes entiendan todo, atiende las dudas, se interesa en que sus estudiantes aprendan y hace la clase agradable. Los parciales no son fáciles pero de verdad que aprendes mucho con este profesor. Es lo máximo!"
7,5,Es muy ordenada y explica muy bien.
8,3,"Es un profesor que no explica muy bien por lo rápido que dicta la clase, simplemente espera que uno haya entendido todo y no le gusta responder dudas sobre los temas"
9,5,"Pros: Excelente profesor, explica muy bien y hace demasiado entretenida la clase"
10,4.8,"El tipo es muy buen complementario, llega siempre con los temas preparados y con algunos ejercicios, consejos o trucos útiles para los distintos temas. A veces él mismo se pierde con los ejercicios pero eventualmente los corrige"
11,5,"Es un excelente profesor! La clase es muy amena, explica de forma clara, y no avanza la clase hasta garantizar que todos hayan entendido el tema, los parciales en general son fáciles, y en el semestre pone una o dos tareas que no comen mucho tiempo."
12,1,Pros: Explica bien
13,5,"La clase es una locura. Al principio uno puede sentirse incómodo pues no es el tipo de clases al que estamos acostumbrados, pero al final va a agradecer cada segundo de la clase. Es increíble y Maite es una gran persona."
14,4.5,"¡Muy buena clase! Peña es muy claro con los temas del curso y tiene una metodología que le ayuda a uno a entender todo con facilidad. Las evaluaciones no son difíciles, sin embargo cuando la vi había una profesora asistente que hacía la clase inmamable. Sin embargo creo que esta ya no lo acompaña en la clase entonces recomendadísima."
15,3,"La experiencia depende en gran medida de los compañeros. Si el grupo lee, participa activamente y, en general, demuestra interés, excelente profesora; si por el contrario el grupo es malo, la clase se vuelve una pesadilla."
16,1,"No se meta a esta carrera, y menos con esta profesora, se va a desmotivar de la carrera, de la universidad e incluso de la vida, a vija es lo peor que ha pisado la universidad"
17,3.8,"A pesar de que siento que la profesora no fue muy exigente, realmente crea un ambiente en el que te puedes sentir cómodo para hablar y resolver dudas en el aula."
18,3.1,"en general la materia es fácil si uno lee, los controles son fáciles, no hay parciales y el profesor es demasiado querido aunque aveces la clase se puede tornar un poco monótona y todas las clases resulte hablando de lo mismo"
